original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
The Legend of Hercules,2014,"Action,Adventure,Fantasy",50352,4.2,70000000,18848538,58953319
Baggage Claim,2013,Comedy,8296,5.1,8500000,21569509,22885836
Moneyball,2011,"Biography,Drama,Sport",326657,7.6,50000000,75605492,111300835
Hereafter,2010,"Drama,Fantasy,Romance",87288,6.5,50000000,32746941,108660270
21 Jump Street,2012,"Action,Comedy,Crime",477771,7.2,42000000,138447667,202812429
Aloha,2015,"Comedy,Drama,Romance",54646,5.4,37000000,21052030,25387091
Sex and the City 2,2010,"Comedy,Drama,Romance",69199,4.4,95000000,95347692,294680778
Going the Distance,2010,"Comedy,Romance",54421,6.3,32000000,17804299,43603990
Remember Me,2010,"Drama,Romance",129443,7.1,16000000,19068240,56506120
Horrible Bosses,2011,"Comedy,Crime",398695,6.9,35000000,117538559,212417601
Captain Phillips,2013,"Biography,Drama,Thriller",387402,7.8,55000000,107136417,220648184
Another Earth,2011,"Drama,Romance,Sci-Fi",85839,7.0,175000,1321194,2102779
House at the End of the Street,2012,"Drama,Horror,Thriller",66303,5.6,6900000,31611916,44103982
Zoolander 2,2016,Comedy,59914,4.7,50000000,28848693,55348693
Chasing Mavericks,2012,"Biography,Drama,Sport",28994,7.2,20000000,6002756,8300821
Jumping the Broom,2011,"Comedy,Drama",9089,5.7,7000000,37295394,38158601
My Week with Marilyn,2011,"Biography,Drama",79337,7.0,10000000,14597405,34240572
The Revenant,2015,"Action,Adventure,Biography",621193,8.0,135000000,183637894,532938302
The Spectacular Now,2013,"Comedy,Drama,Romance",133887,7.1,2500000,6852971,6916951
Cirque du Soleil: Worlds Away,2012,Fantasy,7643,6.8,25000000,12512862,28012862
Lottery Ticket,2010,Comedy,10042,5.0,17000000,24719879,24719879
Machete,2010,"Action,Crime,Thriller",182320,6.6,12500000,26593646,46370970
Superfly,2018,"Action,Crime,Thriller",4753,5.0,16000000,20537137,20723581
Eat Pray Love,2010,"Drama,Romance",77709,5.8,60000000,80574010,206598789
Letters to Juliet,2010,"Adventure,Comedy,Drama",86137,6.6,30000000,53032453,82148538
Iron Man 2,2010,"Action,Adventure,Sci-Fi",657690,7.0,170000000,312433331,621156389
Central Intelligence,2016,"Action,Comedy,Crime",138872,6.3,50000000,127440871,217194805
The Host,2013,"Action,Adventure,Drama",105633,5.9,50000000,26623701,64477051
For Greater Glory: The True Story of Cristiada,2012,"Drama,History,War",4202,6.6,12000000,5669081,10026255
The Commuter,2018,"Action,Mystery,Thriller",83114,6.3,40000000,36343858,101985431
Abraham Lincoln: Vampire Hunter,2012,"Action,Fantasy,Horror",142853,5.9,67500000,37519139,137489730
The Last Witch Hunter,2015,"Action,Adventure,Fantasy",86118,6.0,80000000,27367660,130818912
The Last Days on Mars,2013,"Adventure,Horror,Sci-Fi",33137,5.5,10600000,24084,261364
50 to 1,2014,Drama,1739,6.6,10000000,1069454,1069454
Madea's Big Happy Family,2011,"Comedy,Drama",6996,4.7,25000000,53345287,54160818
Resident Evil: Retribution,2012,"Action,Horror,Sci-Fi",125191,5.4,65000000,42345531,240647629
Lincoln,2012,"Biography,Drama,History",228701,7.4,65000000,182207973,273346281
The Croods,2013,"Action,Adventure,Animation",176699,7.2,135000000,187168425,573068425
The Bounty Hunter,2010,"Action,Comedy,Romance",112444,5.6,45000000,67061228,135808837
Freakonomics,2010,Documentary,6466,6.4,2900000,101270,172867
The Karate Kid,2010,"Action,Drama,Family",146401,6.2,40000000,176591618,351774938
Legend of the Guardians: The Owls of Ga'Hoole,2010,"Action,Adventure,Animation",73790,7.0,100000000,55675313,139716717
Anchorman 2: The Legend Continues,2013,Comedy,156116,6.3,50000000,127352707,172185754
Incendies,2010,"Drama,Mystery,War",124156,8.3,6800000,6857096,16038343
The Expendables,2010,"Action,Adventure,Thriller",307897,6.5,82000000,103068524,268268174
Never Let Me Go,2010,"Drama,Romance,Sci-Fi",130084,7.1,15000000,2434652,11173718
Pride and Prejudice and Zombies,2016,"Action,Comedy,Horror",46187,5.8,28000000,10907291,16638300
Men in Black 3,2012,"Action,Adventure,Comedy",309879,6.8,215000000,179020854,654213485
You Again,2010,"Comedy,Family,Romance",46690,5.8,20000000,25702053,32838945
8: The Mormon Proposition,2010,Documentary,1190,7.0,2500000,100280,100280
The Raven,2012,"Crime,Mystery,Thriller",79578,6.4,26000000,16008272,30601801
Sherlock Holmes: A Game of Shadows,2011,"Action,Adventure,Crime",394189,7.5,125000000,186848418,535663443
Beautiful Creatures,2013,"Drama,Fantasy,Romance",79764,6.2,50000000,19452138,60282876
Danny Collins,2015,"Biography,Comedy,Drama",27435,7.0,10000000,5637066,8465845
The Book of Eli,2010,"Action,Adventure,Drama",271307,6.9,80000000,94835059,158750817
Winchester,2018,"Biography,Drama,Fantasy",24351,5.4,3500000,25091816,44378040
Blue Valentine,2010,"Drama,Romance",170089,7.4,1000000,9737892,16566240
A Nightmare on Elm Street,2010,"Crime,Drama,Horror",85497,5.2,35000000,63075011,117729621
10 Cloverfield Lane,2016,"Drama,Horror,Mystery",260383,7.2,5000000,72082999,108286422
Escape Plan,2013,"Action,Crime,Mystery",211587,6.7,70000000,25135965,103735965
Wild Target,2010,"Action,Comedy,Crime",33915,6.8,8000000,109338,5314194
Hercules,2014,"Action,Adventure,Fantasy",137287,6.0,100000000,72688614,243388614
Venom,2018,"Action,Sci-Fi,Thriller",275406,6.7,116000000,213511408,853628605
The Watch,2012,"Action,Comedy,Horror",115757,5.7,55000000,34353000,67130045
Pirates of the Caribbean: On Stranger Tides,2011,"Action,Adventure,Fantasy",447624,6.6,410600000,241063875,1045663875
Despicable Me,2010,"Animation,Comedy,Family",464511,7.7,69000000,251513985,543464573
Jack the Giant Slayer,2013,"Adventure,Fantasy",123127,6.3,195000000,65187603,197687603
12 Strong,2018,"Action,Drama,History",50155,6.6,35000000,45819713,71118378
One Day,2011,"Drama,Romance",128094,7.0,15000000,13843771,59168692
Tiny Furniture,2010,"Comedy,Drama,Romance",13397,6.2,50000,391674,424149
Larry Crowne,2011,"Comedy,Drama,Romance",58927,6.1,30000000,35608245,61449135
Act of Valor,2012,"Action,Adventure,Drama",63787,6.5,12000000,70012847,82497035
Norm of the North,2016,"Adventure,Animation,Comedy",7951,3.6,18000000,17062499,30535660
Trolls,2016,"Adventure,Animation,Comedy",63295,6.5,125000000,153707064,344150134
Shame,2011,Drama,171353,7.2,6500000,4002293,20412841
The First Time,2012,"Comedy,Drama,Romance",62589,6.9,2000000,17061,17061
A Walk Among the Tombstones,2014,"Action,Crime,Drama",105116,6.5,28000000,26017685,62108587
