original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
The Legend of Hercules,2014,"Action,Adventure,Fantasy",50352,4.2,70000000,18848538,58953319
Baggage Claim,2013,Comedy,8296,5.1,8500000,21569509,22885836
Moneyball,2011,"Biography,Drama,Sport",326657,7.6,50000000,75605492,111300835
Hereafter,2010,"Drama,Fantasy,Romance",87288,6.5,50000000,32746941,108660270
21 Jump Street,2012,"Action,Comedy,Crime",477771,7.2,42000000,138447667,202812429
Aloha,2015,"Comedy,Drama,Romance",54646,5.4,37000000,21052030,25387091
Sex and the City 2,2010,"Comedy,Drama,Romance",69199,4.4,95000000,95347692,294680778
Don't Be Afraid of the Dark,2010,"Fantasy,Horror,Thriller",44490,5.6,25000000,24046682,39126427
Small Apartments,2012,"Comedy,Crime,Drama",6688,6.1,2000000,0,0
Going the Distance,2010,"Comedy,Romance",54421,6.3,32000000,17804299,43603990
The Adventurer: The Curse of the Midas Box,2013,"Adventure,Family,Fantasy",5257,5.4,25000000,0,0
Remember Me,2010,"Drama,Romance",129443,7.1,16000000,19068240,56506120
Horrible Bosses,2011,"Comedy,Crime",398695,6.9,35000000,117538559,212417601
Captain Phillips,2013,"Biography,Drama,Thriller",387402,7.8,55000000,107136417,220648184
Another Earth,2011,"Drama,Romance,Sci-Fi",85839,7.0,175000,1321194,2102779
House at the End of the Street,2012,"Drama,Horror,Thriller",66303,5.6,6900000,31611916,44103982
The Last Godfather,2010,"Comedy,Crime,Romance",1071,3.7,13400000,164247,164247
Zoolander 2,2016,Comedy,59914,4.7,50000000,28848693,55348693
Chasing Mavericks,2012,"Biography,Drama,Sport",28994,7.2,20000000,6002756,8300821
Jumping the Broom,2011,"Comedy,Drama",9089,5.7,7000000,37295394,38158601
My Week with Marilyn,2011,"Biography,Drama",79337,7.0,10000000,14597405,34240572
Polisse,2011,"Crime,Drama",12506,7.3,8900000,176988,22744132
The Revenant,2015,"Action,Adventure,Biography",621193,8.0,135000000,183637894,532938302
The Algerian,2014,"Action,Romance,Thriller",195,5.3,1300000,0,0
The Spectacular Now,2013,"Comedy,Drama,Romance",133887,7.1,2500000,6852971,6916951
L!fe Happens,2011,Comedy,7229,5.6,930000,30905,30905
People Like Us,2010,Drama,13,6.4,16000000,12431792,12617472
Cirque du Soleil: Worlds Away,2012,Fantasy,7643,6.8,25000000,12512862,28012862
Lottery Ticket,2010,Comedy,10042,5.0,17000000,24719879,24719879
Machete,2010,"Action,Crime,Thriller",182320,6.6,12500000,26593646,46370970
The Little Prince,2019,Action,6,8.3,77500000,1311213,102028919
Genius,2012,Drama,14,5.4,17000000,1361045,7265283
Adam,2018,Drama,57,5.6,3200000,2283291,2834485
Bobby,2017,"Comedy,Romance",185,6.8,14000000,11242801,20597806
Superfly,2018,"Action,Crime,Thriller",4753,5.0,16000000,20537137,20723581
An Ideal Husband,2018,Comedy,13,8.3,10700000,18542974,31341183
Forget Me Not,2019,Documentary,5,8.2,1300000,0,13465
Eat Pray Love,2010,"Drama,Romance",77709,5.8,60000000,80574010,206598789
Letters to Juliet,2010,"Adventure,Comedy,Drama",86137,6.6,30000000,53032453,82148538
Nine Dead,2010,"Crime,Drama,Horror",11358,5.5,2000000,0,0
The Sisterhood of Night,2014,"Drama,Mystery,Thriller",1888,6.2,1000000,6870,6870
Shanghai,2010,"Crime,Drama,Mystery",8662,6.4,50000000,46425,15505922
Iron Man 2,2010,"Action,Adventure,Sci-Fi",657690,7.0,170000000,312433331,621156389
Collide,2010,Action,12,5.5,29200000,2280004,5466698
Drones,2010,Comedy,483,6.4,500000,0,0
A Little Bit of Heaven,2011,"Comedy,Drama,Fantasy",26441,6.3,12500000,10011,1100287
Brooklyn,2010,"Comedy,Crime",28,7.3,11000000,38322743,62076141
Central Intelligence,2016,"Action,Comedy,Crime",138872,6.3,50000000,127440871,217194805
The Host,2013,"Action,Adventure,Drama",105633,5.9,50000000,26623701,64477051
For Greater Glory: The True Story of Cristiada,2012,"Drama,History,War",4202,6.6,12000000,5669081,10026255
The Commuter,2018,"Action,Mystery,Thriller",83114,6.3,40000000,36343858,101985431
The Grey,2011,"Action,Adventure,Drama",228798,6.8,25000000,51580136,81249176
Abraham Lincoln: Vampire Hunter,2012,"Action,Fantasy,Horror",142853,5.9,67500000,37519139,137489730
The Last Witch Hunter,2015,"Action,Adventure,Fantasy",86118,6.0,80000000,27367660,130818912
Infected,2013,"Action,Horror,Sci-Fi",1028,2.8,2100000,0,0
Wolf,2010,"Action,Crime,Drama",87,4.7,70000000,65011757,131011757
Pinocchio,2012,"Animation,Family,Fantasy",224,6.3,45000000,3681811,31681811
The Last Days on Mars,2013,"Adventure,Horror,Sci-Fi",33137,5.5,10600000,24084,261364
Anna,2013,"Drama,Mystery,Sci-Fi",19733,6.5,4357373,0,1200000
The Lords of Salem,2012,"Horror,Thriller",25089,5.1,1500000,1165881,1541131
Nerve,2011,"Comedy,Drama",88,6.8,20000000,38583626,70652284
50 to 1,2014,Drama,1739,6.6,10000000,1069454,1069454
Madea's Big Happy Family,2011,"Comedy,Drama",6996,4.7,25000000,53345287,54160818
Wanted,2011,"Action,Drama",95,4.5,75000000,134508551,342416460
Resident Evil: Retribution,2012,"Action,Horror,Sci-Fi",125191,5.4,65000000,42345531,240647629
Detention of the Dead,2012,"Action,Adventure,Comedy",2414,4.6,500000,1778,1778
Cure,2011,Drama,11,4.9,10000,94596,94596
Lincoln,2012,"Biography,Drama,History",228701,7.4,65000000,182207973,273346281
The Croods,2013,"Action,Adventure,Animation",176699,7.2,135000000,187168425,573068425
The Bounty Hunter,2010,"Action,Comedy,Romance",112444,5.6,45000000,67061228,135808837
Freakonomics,2010,Documentary,6466,6.4,2900000,101270,172867
The Karate Kid,2010,"Action,Drama,Family",146401,6.2,40000000,176591618,351774938
Legend of the Guardians: The Owls of Ga'Hoole,2010,"Action,Adventure,Animation",73790,7.0,100000000,55675313,139716717
Anchorman 2: The Legend Continues,2013,Comedy,156116,6.3,50000000,127352707,172185754
Incendies,2010,"Drama,Mystery,War",124156,8.3,6800000,6857096,16038343
The Expendables,2010,"Action,Adventure,Thriller",307897,6.5,82000000,103068524,268268174
Never Let Me Go,2010,"Drama,Romance,Sci-Fi",130084,7.1,15000000,2434652,11173718
Pride and Prejudice and Zombies,2016,"Action,Comedy,Horror",46187,5.8,28000000,10907291,16638300
Men in Black 3,2012,"Action,Adventure,Comedy",309879,6.8,215000000,179020854,654213485
You Again,2010,"Comedy,Family,Romance",46690,5.8,20000000,25702053,32838945
8: The Mormon Proposition,2010,Documentary,1190,7.0,2500000,100280,100280
The Raven,2012,"Crime,Mystery,Thriller",79578,6.4,26000000,16008272,30601801
